page_index	page_id	part	chapter	template	composition	status	priority	issue	suggested_manual_action	tables
1	all-page-0001	KALLISTIS	KALLISTIS	front_matter	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
2	all-page-0002	KALLISTIS	Dedicatória	front_matter	TEXT_FEATURE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
3	all-page-0003	KALLISTIS	Dedicatória	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
4	all-page-0004	KALLISTIS	Prólogo — A velha e a Fresta	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
5	all-page-0005	PARTE I — O MUNDO PARTIDO	PARTE I — O MUNDO PARTIDO	part_opening	PART_HERO	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
6	all-page-0006	PARTE I — O MUNDO PARTIDO	Manesh — O Mundo da Luz	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
7	all-page-0007	PARTE I — O MUNDO PARTIDO	Thuvel — O Mundo da Escuridão	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
8	all-page-0008	PARTE I — O MUNDO PARTIDO	Luz, Escuridão e Sombra	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
9	all-page-0009	PARTE I — O MUNDO PARTIDO	Kav — Sombra É Corrupção, Não Escuridão	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
10	all-page-0010	PARTE I — O MUNDO PARTIDO	O Grande Cristal — Antes Que Houvesse Dois Mundos	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
11	all-page-0011	PARTE I — O MUNDO PARTIDO	Mirveth — Uma Pessoa Inteira	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
12	all-page-0012	PARTE I — O MUNDO PARTIDO	Vethari — Relação Sem Apagamento	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
13	all-page-0013	PARTE I — O MUNDO PARTIDO	História do Mundo Partido	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
14	all-page-0014	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
15	all-page-0015	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
16	all-page-0016	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
17	all-page-0017	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
18	all-page-0018	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
19	all-page-0019	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
20	all-page-0020	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
21	all-page-0021	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
22	all-page-0022	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
23	all-page-0023	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
24	all-page-0024	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
25	all-page-0025	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
26	all-page-0026	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
27	all-page-0027	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
28	all-page-0028	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
29	all-page-0029	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
30	all-page-0030	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
31	all-page-0031	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
32	all-page-0032	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
33	all-page-0033	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
34	all-page-0034	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
35	all-page-0035	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
36	all-page-0036	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
37	all-page-0037	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
38	all-page-0038	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
39	all-page-0039	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
40	all-page-0040	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
41	all-page-0041	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
42	all-page-0042	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
43	all-page-0043	PARTE I — O MUNDO PARTIDO	A história em Marcos	timeline_milestone	TIMELINE_MILESTONE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
44	all-page-0044	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
45	all-page-0045	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
46	all-page-0046	PARTE I — O MUNDO PARTIDO	A história em Marcos	chapter_opening	SIDE_ART_PAIR	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
47	all-page-0047	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
48	all-page-0048	PARTE I — O MUNDO PARTIDO	A história em Marcos	narrative	TEXT_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
49	all-page-0049	PARTE I — O MUNDO PARTIDO	Cronologia consolidada por Marcos	table_page	TEXT_FEATURE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	1 tabelas
50	all-page-0050	PARTE I — O MUNDO PARTIDO	O que é fundamento, consenso, tradição e futuro aberto	part_opening	PART_HERO	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
