behavior	current_file	current_function	category	generic_or_project	runtime_or_policy	source_of_truth	duplicated	contract_drift	risk	recommended_action	priority	evidence
"Carregar Book JSON canônico no editor"	src/data/canonical-book.ts	canonicalBook	EDITOR	GENERIC_ENGINE	policy	kallistis-manual-do-mundo-reconstrucao.json	no	no	low	Documentar o coupling	P3	"src/data/canonical-book.ts:1-5"
"Aplicar design tokens como CSS custom properties"	src/book/renderer/BookRoot.tsx	tokensToStyle / BookRoot	RENDERER	GENERIC_ENGINE	runtime	book.tokens (Book JSON)	no	no	low	none	P3	"src/book/renderer/BookRoot.tsx:5-11"
"Renderizar uma página física"	src/book/renderer/PageRenderer.tsx	PageRenderer	RENDERER	GENERIC_ENGINE	runtime	book.pages[].template + book.tokens	no	no	low	none	P3	"src/book/renderer/PageRenderer.tsx:58-177"
"Definir 13 templates editoriais"	src/book/templates/index.ts	TEMPLATES	RENDERER	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/templates/index.ts:28-146"
"Renderizar template COVER"	src/book/templates/openings.tsx	CoverTemplate	RENDERER	GENERIC_ENGINE	runtime	page.blocks + book.meta	no	no	low	none	P3	"src/book/templates/openings.tsx:12-52"
"Renderizar template PART_OPENING"	src/book/templates/openings.tsx	PartOpeningTemplate	RENDERER	GENERIC_ENGINE	runtime	page.blocks + book.meta	no	no	low	none	P3	"src/book/templates/openings.tsx:55-93"
"Renderizar template CHAPTER_OPENING (image-top/side/quadrant)"	src/book/templates/openings.tsx	ChapterOpeningTemplate	RENDERER	GENERIC_ENGINE	runtime	page.variant + page.blocks	no	no	low	none	P3	"src/book/templates/openings.tsx:100-242"
"Renderizar template NARRATIVE / RULES_2COL / FRONT_MATTER / TOC / TIMELINE / QUOTE"	src/book/templates/editorial.tsx	*Template	RENDERER	GENERIC_ENGINE	runtime	page.blocks + page.settings	no	no	low	none	P3	"src/book/templates/editorial.tsx:1-93"
"Renderizar template PROFILE / TABLE_PAGE"	src/book/templates/reference.tsx	ProfileTemplate / TablePageTemplate	RENDERER	GENERIC_ENGINE	runtime	page.blocks + page.variant	no	no	low	none	P3	"src/book/templates/reference.tsx:36-133"
"Renderizar template FULL_ART (incluindo bestiary-opening e spreadSide)"	src/book/templates/visual.tsx	FullArtTemplate	RENDERER	GENERIC_ENGINE	runtime	art.fullBleed + art.spreadSide	no	no	low	none	P3	"src/book/templates/visual.tsx:6-102"
"Renderizar template MAP_PAGE"	src/book/templates/visual.tsx	MapPageTemplate	RENDERER	GENERIC_ENGINE	runtime	page.blocks	no	no	low	none	P3	"src/book/templates/visual.tsx:105-141"
"Pagination engine stub"	src/book/pagination/adapter.ts	fixedAdapter / pagedAdapter	PAGINATION	GENERIC_ENGINE	policy	hardcoded	yes	yes (vs materializer)	medium	Documentar a não-utilização; remover paged/vivliostyle se confirmado dead code	P2	"src/book/pagination/adapter.ts:21-39"
"Renderizar bloco individual"	src/book/renderer/BlockRenderer.tsx	BlockRenderer	RENDERER	GENERIC_ENGINE	runtime	block.type	no	no	low	none	P3	"src/book/renderer/BlockRenderer.tsx"
"Renderizar Markdown inline"	src/book/renderer/markdown.tsx	*	RENDERER	GENERIC_ENGINE	runtime	text block content	no	no	low	none	P3	"src/book/renderer/markdown.tsx"
"Renderizar Sheet (documento preenchível)"	src/book/renderer/SheetRenderer.tsx	SheetRenderer	RENDERER	GENERIC_ENGINE	runtime	block.sheet	no	no	low	none	P3	"src/book/renderer/SheetRenderer.tsx"
"Modelo Book (schemaVersion 1)"	src/book/types.ts	interface Book	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded (typescript)	no	no	low	none	P3	"src/book/types.ts:750-923"
"Modelo Page + MaterializationPageMetadata"	src/book/types.ts	interface Page / MaterializationPageMetadata	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	no	yes (materializationVersion 7 vs 1)	medium	Consolidar materializationVersion	17.3	P1	"src/book/types.ts:601-646"
"Modelo Block (14 tipos)"	src/book/types.ts	Block union	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"src/book/types.ts:572-588"
"Modelo Recipe (BookRecipe / Slot / Blueprint)"	src/book/types.ts	BookRecipe	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	no	no (mas dead code)	low	Documentar como opcional	P3	"src/book/types.ts:846-866"
"Modelo Spread"	src/book/types.ts	Spread	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"src/book/types.ts:917-923"
"Modelo BookAsset (com storage local/r2/legacy-inline)"	src/book/types.ts	BookAsset / BookAssetStorage	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	no	no	low	none	P3	"src/book/types.ts:726-748"
"Default tokens (140mm × 210mm + 5mm bleed)"	src/book/types.ts	DEFAULT_TOKENS	CORE_MODEL	GENERIC_ENGINE	policy	hardcoded	yes (6 locais)	no	low	Consolidar em TRIM/BLEED	17.5	P2	"src/book/types.ts:890-911"
"Criar página vazia (factory)"	src/book/page-factory.ts	createEmptyPage	EDITOR	GENERIC_ENGINE	runtime	TEMPLATES[template].variants[0] + TEMPLATES[template].defaultColumns	no	no	low	none	P3	"src/book/page-factory.ts:6-24"
"Smart Paste (parse seleção em Block[])"	src/book/authoring.ts	parseSmartPaste	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/authoring.ts"
"Recipe: blueprint de página a partir de página existente"	src/book/authoring.ts	blueprintFromPage	EDITOR	GENERIC_ENGINE	runtime	page.blocks	no	no	low	none	P3	"src/book/authoring.ts:256"
"Recipe: form-from-lines"	src/book/authoring.ts	formFromLines	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/authoring.ts:665"
"Parse ASCII layout"	src/book/authoring.ts	parseAsciiLayout / parseBoxDrawing	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/authoring.ts:802"
"Recipe: materialização (block → recipe)"	src/book/authoring.ts	materializeRecipe	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/authoring.ts"
"Recipe: semanticRecipeFromPage"	src/book/authoring.ts	semanticRecipeFromPage	EDITOR	GENERIC_ENGINE	runtime	page.blocks + page.template	no	no	low	none	P3	"src/book/authoring.ts"
"Tabela V1→V2 migration (id, normalize, split)"	src/book/tableModel.ts	normalizeTableBlock / cloneRow / cloneCell / normalizeWidths	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/tableModel.ts:127-234"
"Split table com continuation"	src/book/tableModel.ts	splitTable	EDITOR	GENERIC_ENGINE	runtime	table.rows + repeatHeader	no	no	low	none	P3	"src/book/tableModel.ts:629-645"
"Parse delimited table"	src/book/tableModel.ts	parseDelimited	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/tableModel.ts:563"
"Sheet model + formulas"	src/book/sheetModel.ts / sheetFormula.ts	blankSheetPage / section / lineField	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/book/sheetModel.ts / sheetFormula.ts"
